region,activitydate,croptype,irrigationhours,fertilizer_amount
EAST,2023-09-25,Rice,7.186552891058065,6.037441924661757
West ,2023-10-23,Cotton,0.0,22.319967894215097
unknown,2023-12-03,Rice,10.24317887898668,73.87565763376888
EAST,2023-05-10, wheat ,11.351253482238526,71.21146545050601
West ,2023-09-22, wheat ,8.215714529720408,96.5500096807551
unknown,2023-10-19,Maize,7.28877393178705,49.39460389642788
unknown,2023-04-19,Rice,0.0,63.31248681295117
unknown,2023-05-31,Cotton,9.099185453206797,75.84593952102759
West,2023-08-31, wheat ,2.71309107662677,93.17806900980274
unknown,2023-04-20,Rice,7.582235746282274,67.85748794405819
EAST,2023-07-23,Cotton,2.865533255060248,50.50687377409895
North,2023-04-27,Rice,9.461965781095913,58.92639906885451
North,2023-12-16, wheat ,0.0,83.85681237994189
West ,2023-08-31, wheat ,0.0,31.580514849524167
North,2023-10-08,Rice,7.63205466276513,39.812077603023056
unknown,2023-05-28, wheat ,4.762951575326635,95.97959630226894
 south,2023-07-08, wheat ,0.6887459903631932,34.123781698057755
West ,2023-02-16,Wheat,7.507373307006668,28.47223384450238
EAST,2023-07-30,Rice,8.364114073740637,31.54790721357388
unknown,2023-02-01,Rice,8.674837517385297,34.26065337901281
West ,2023-05-06,Rice,11.832044976437857,46.64666991869812
North,2023-12-25,Wheat,2.4887866400517398,45.36859818490365
North,2023-09-04,Cotton,5.78742010261149,84.15638371288836
West ,2023-12-28,Rice,1.6685971789132998,78.01138786229068
West ,2023-01-03,Rice,1.7288392876403598,6.65051823088465
unknown,2023-06-06,Rice,7.862828462126586,43.89506454684104
EAST,2023-09-26,Cotton,7.164370344680883,7.897381050089547
 south,2023-04-24, wheat ,0.0,89.1785945592955
unknown,2023-05-05,Cotton,4.812964954661515,79.55946138435333
unknown,2023-08-22,Wheat,4.165264098994982,46.50177572761994
West ,2023-06-15, wheat ,3.2090789763725027,72.26467988991773
EAST,2023-01-03,Maize,7.036857400179782,42.96916613262846
unknown,2023-01-13,Cotton,0.3395317436771274,80.11523525931011
 south,2023-05-19,Cotton,0.0,2.9612307477389743
North,2023-08-09,Wheat,8.615277403334977,64.46134875094502
unknown,2023-11-24,Maize,7.303832509547037,52.20344742371648
EAST,2023-07-20,Cotton,1.7294010257774644,81.25368143209467
 south,2023-10-27,Maize,3.567056148990067,97.81229713183528
North,2023-08-27,Cotton,0.0,21.96327346099477
 south,2023-03-15,Maize,0.7630307438468296,6.279745303500861
West ,2023-08-04,Maize,1.1822551093528482,84.59964003952494
unknown,2023-01-20,Wheat,9.713581518760474,37.50132942695631
unknown,2023-03-12,Cotton,0.1302014148565189,37.99033058393122
West ,2023-10-18,Wheat,3.239243894624509,50.50687377409895
EAST,2023-11-25,Wheat,5.955108529557792,63.96496921744127
 south,2023-04-14,Maize,0.3331975940157341,25.27690846654631
West ,2023-04-17,Maize,0.0,60.17776036397486
unknown,2023-06-25,Cotton,10.38666508164421,25.85391199891893
EAST,2023-11-21, wheat ,6.77188351781561,46.93802289323631
EAST,2023-02-13,Rice,0.0,95.19565346620396
EAST,2023-11-17,Cotton,8.233584347354297,81.70749549339953
North,2023-09-12, wheat ,11.266163947557205,50.50687377409895
 south,2023-06-24,Wheat,0.0,11.300653960174966
 south,2023-10-12,Cotton,5.231487545374977,25.514786813003443
unknown,2023-08-28,Wheat,6.149938053367176,7.942271849365124
 south,2023-01-27, wheat ,4.608744426062179,61.59221960086967
North,2023-01-17,Wheat,2.471692795434095,12.78774021735536
unknown,2023-10-25,Cotton,4.041352225437995,69.71177245625681
West ,2023-09-26,Rice,11.80205974855113,53.89239991711165
North,2023-11-18,Wheat,9.519323760634018,54.97144908949523
North,2023-08-07,Rice,10.306894402160497,50.50687377409895
North,2023-01-25,Wheat,9.307051942434615,27.938600948203018
EAST,2023-08-24,Maize,5.6877542623131925,0.4521213167651194
North,2023-10-23,Rice,2.6362533672842106,50.50687377409895
unknown,2023-06-17,Cotton,3.3289208343199164,50.50687377409895
West ,2023-11-22,Rice,11.498737213540146,50.50687377409895
North,2023-09-29,Cotton,0.6179716904065384,8.617054567550298
North,2023-12-10,Rice,10.593912733860371,80.53550062878216
EAST,2023-03-20,Rice,6.662205896065663,67.5556754313827
EAST,2023-03-02,Rice,3.318095430002368,88.2111079944509
 south,2023-06-10, wheat ,0.0,60.75038125977209
unknown,2023-04-21, wheat ,4.660897558011383,23.22241300090093
North,2023-10-22,Cotton,1.9623255763787435,52.97498562037
North,2023-12-22,Wheat,4.416834520961334,0.971321698015315
 south,2023-05-16,Wheat,10.477224099072217,1.7748683232806317
 south,2023-02-24,Cotton,4.292154012274729,50.50687377409895
EAST,2023-09-24, wheat ,1.095570554643313,57.740962279649445
